Gate: XG1, Type: dff, Level: 0, Fanout: CRC_OUT_9_0, Fanin: WX1264
Gate: XG2, Type: dff, Level: 0, Fanout: CRC_OUT_9_1, Fanin: WX1266
Gate: XG3, Type: dff, Level: 0, Fanout: CRC_OUT_9_2, Fanin: WX1268
Gate: XG4, Type: dff, Level: 0, Fanout: CRC_OUT_9_3, Fanin: WX1270
Gate: XG5, Type: dff, Level: 0, Fanout: CRC_OUT_9_4, Fanin: WX1272
Gate: XG6, Type: dff, Level: 0, Fanout: CRC_OUT_9_5, Fanin: WX1274
Gate: XG7, Type: dff, Level: 0, Fanout: CRC_OUT_9_6, Fanin: WX1276
Gate: XG8, Type: dff, Level: 0, Fanout: CRC_OUT_9_7, Fanin: WX1278
Gate: XG9, Type: dff, Level: 0, Fanout: CRC_OUT_9_8, Fanin: WX1280
Gate: XG10, Type: dff, Level: 0, Fanout: CRC_OUT_9_9, Fanin: WX1282
Gate: XG11, Type: dff, Level: 0, Fanout: CRC_OUT_9_10, Fanin: WX1284
Gate: XG12, Type: dff, Level: 0, Fanout: CRC_OUT_9_11, Fanin: WX1286
Gate: XG13, Type: dff, Level: 0, Fanout: CRC_OUT_9_12, Fanin: WX1288
Gate: XG14, Type: dff, Level: 0, Fanout: CRC_OUT_9_13, Fanin: WX1290
Gate: XG15, Type: dff, Level: 0, Fanout: CRC_OUT_9_14, Fanin: WX1292
Gate: XG16, Type: dff, Level: 0, Fanout: CRC_OUT_9_15, Fanin: WX1294
Gate: XG17, Type: dff, Level: 0, Fanout: CRC_OUT_9_16, Fanin: WX1296
Gate: XG18, Type: dff, Level: 0, Fanout: CRC_OUT_9_17, Fanin: WX1298
Gate: XG19, Type: dff, Level: 0, Fanout: CRC_OUT_9_18, Fanin: WX1300
Gate: XG20, Type: dff, Level: 0, Fanout: CRC_OUT_9_19, Fanin: WX1302
Gate: XG21, Type: dff, Level: 0, Fanout: CRC_OUT_9_20, Fanin: WX1304
Gate: XG22, Type: dff, Level: 0, Fanout: CRC_OUT_9_21, Fanin: WX1306
Gate: XG23, Type: dff, Level: 0, Fanout: CRC_OUT_9_22, Fanin: WX1308
Gate: XG24, Type: dff, Level: 0, Fanout: CRC_OUT_9_23, Fanin: WX1310
Gate: XG25, Type: dff, Level: 0, Fanout: CRC_OUT_9_24, Fanin: WX1312
Gate: XG26, Type: dff, Level: 0, Fanout: CRC_OUT_9_25, Fanin: WX1314
Gate: XG27, Type: dff, Level: 0, Fanout: CRC_OUT_9_26, Fanin: WX1316
Gate: XG28, Type: dff, Level: 0, Fanout: CRC_OUT_9_27, Fanin: WX1318
Gate: XG29, Type: dff, Level: 0, Fanout: CRC_OUT_9_28, Fanin: WX1320
Gate: XG30, Type: dff, Level: 0, Fanout: CRC_OUT_9_29, Fanin: WX1322
Gate: XG31, Type: dff, Level: 0, Fanout: CRC_OUT_9_30, Fanin: WX1324
Gate: XG32, Type: dff, Level: 0, Fanout: CRC_OUT_9_31, Fanin: WX1326
Gate: XG33, Type: dff, Level: 0, Fanout: CRC_OUT_8_0, Fanin: WX2557
Gate: XG34, Type: dff, Level: 0, Fanout: CRC_OUT_8_1, Fanin: WX2559
Gate: XG35, Type: dff, Level: 0, Fanout: CRC_OUT_8_2, Fanin: WX2561
Gate: XG36, Type: dff, Level: 0, Fanout: CRC_OUT_8_3, Fanin: WX2563
Gate: XG37, Type: dff, Level: 0, Fanout: CRC_OUT_8_4, Fanin: WX2565
Gate: XG38, Type: dff, Level: 0, Fanout: CRC_OUT_8_5, Fanin: WX2567
Gate: XG39, Type: dff, Level: 0, Fanout: CRC_OUT_8_6, Fanin: WX2569
Gate: XG40, Type: dff, Level: 0, Fanout: CRC_OUT_8_7, Fanin: WX2571
Gate: XG41, Type: dff, Level: 0, Fanout: CRC_OUT_8_8, Fanin: WX2573
